Replace Part BT? BATTERY in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with BATTERY from stm32.SchLib
Replace Part C? C in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with C from stm32.SchLib
Replace Part C? C in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with C from stm32.SchLib
Replace Part C? C in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with C from stm32.SchLib
Replace Part C? C in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with C from stm32.SchLib
Replace Part C? C in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with C from stm32.SchLib
Replace Part D? 1N4148 in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with 1N4148 from stm32.SchLib
Replace Part E? CE_SMD in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with CE_SMD from stm32.SchLib
Replace Part E? CE_SMD in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with CE_SMD from stm32.SchLib
Replace Part L? L-Molding Choke in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with L-Molding Choke from stm32.SchLib
Replace Part Q? 8550-SMD in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with 8550-SMD from stm32.SchLib
Replace Part Q? 8050-SMD in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with 8050-SMD from stm32.SchLib
Replace Part R? R in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with R from stm32.SchLib
Replace Part R? R in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with R from stm32.SchLib
Replace Part R? R in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with R from stm32.SchLib
Replace Part R? R in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with R from stm32.SchLib
Replace Part R? R in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with R from stm32.SchLib
Replace Part R? R in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with R from stm32.SchLib
Replace Part R? R in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with R from stm32.SchLib
Replace Part R? R in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with R from stm32.SchLib
Replace Part SW? POWER_SW_ss12f23 in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with POWER_SW_ss12f23 from stm32.SchLib
Replace Part U? CH340G in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with CH340G from stm32.SchLib
Replace Part USB? USB in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with USB from stm32.SchLib
Replace Part USB? USB in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with USB from stm32.SchLib
Replace Part V? AMS1117 in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with AMS1117 from stm32.SchLib
Replace Part X? XTAL-2P in C:\Users\杨建\Desktop\stm32AD\stm32\stm32b.SchDoc with XTAL-2P from stm32.SchLib
